date,protocol,tvl
2021-05-02,centrifuge,2424108
2021-05-02,truefi,31746634
2021-05-03,centrifuge,2494297
2021-05-03,truefi,30770181
2021-05-04,centrifuge,2329918
2021-05-04,truefi,31081394
2021-05-05,centrifuge,2186648
2021-05-05,truefi,31813614
2021-05-06,centrifuge,2183958
2021-05-06,truefi,32457834
2021-05-07,centrifuge,2230737
2021-05-07,truefi,30465700
2021-05-08,centrifuge,2367589
2021-05-08,truefi,32209682
2021-05-09,centrifuge,2376211
2021-05-09,truefi,37811713
2021-05-10,centrifuge,2473421
2021-05-10,truefi,34011630
2021-05-11,centrifuge,1944574
2021-05-11,truefi,33565214
2021-05-12,centrifuge,1929560
2021-05-12,truefi,40345425
2021-05-13,centrifuge,2426590
2021-05-13,truefi,38576242
2021-05-14,centrifuge,2788956
2021-05-14,truefi,39642363
2021-05-15,centrifuge,2839745
2021-05-15,truefi,39769635
2021-05-16,centrifuge,3393692
2021-05-16,truefi,38642724
2021-05-17,centrifuge,4009831
2021-05-17,truefi,38181632
2021-05-18,centrifuge,3853790
2021-05-18,truefi,38295700
2021-05-19,centrifuge,4094626
2021-05-19,maple-finance,2006326
2021-05-19,truefi,24631706
2021-05-20,centrifuge,4017769
2021-05-20,maple-finance,8019715
2021-05-20,truefi,43663333
2021-05-21,centrifuge,3790573
2021-05-21,maple-finance,17024931
2021-05-21,truefi,71303718
2021-05-22,centrifuge,3796399
2021-05-22,maple-finance,17012817
2021-05-22,truefi,93896199
2021-05-23,centrifuge,3737541
2021-05-23,maple-finance,17016207
2021-05-23,truefi,113569010
2021-05-24,centrifuge,3693684
2021-05-24,maple-finance,16997180
2021-05-24,truefi,122387224
2021-05-25,centrifuge,3698929
2021-05-25,maple-finance,16935140
2021-05-25,truefi,133223457
2021-05-26,centrifuge,3707875
2021-05-26,maple-finance,16977742
2021-05-26,truefi,142769182
2021-05-27,centrifuge,3479451
2021-05-27,maple-finance,17008675
2021-05-27,truefi,168685513
2021-05-28,centrifuge,3403914
2021-05-28,maple-finance,17013305
2021-05-28,truefi,171107010
2021-05-29,centrifuge,3400669
2021-05-29,maple-finance,16920758
2021-05-29,truefi,145422013
2021-05-30,centrifuge,3424552
2021-05-30,maple-finance,17022273
2021-05-30,truefi,156428787
2021-05-31,centrifuge,3422101
2021-05-31,maple-finance,17004302
2021-05-31,truefi,167842837
2021-06-01,centrifuge,3388607
2021-06-01,maple-finance,16988609
2021-06-01,truefi,168457288
2021-06-02,centrifuge,3397814
2021-06-02,maple-finance,17045322
2021-06-02,truefi,165272596
2021-06-03,centrifuge,3340960
2021-06-03,maple-finance,16983035
2021-06-03,truefi,169594825
2021-06-04,centrifuge,3314631
2021-06-04,maple-finance,16899270
2021-06-04,truefi,179388605
2021-06-05,centrifuge,3442213
2021-06-05,maple-finance,16971581
2021-06-05,truefi,185109752
2021-06-06,centrifuge,3554691
2021-06-06,maple-finance,16988148
2021-06-06,truefi,191411855
2021-06-07,centrifuge,3559609
2021-06-07,maple-finance,17037147
2021-06-07,truefi,179958174
2021-06-08,centrifuge,3567273
2021-06-08,maple-finance,17035734
2021-06-08,truefi,155698275
2021-06-09,centrifuge,3485759
2021-06-09,maple-finance,17156906
2021-06-09,truefi,148742153
2021-06-10,centrifuge,3466144
2021-06-10,maple-finance,17025658
2021-06-10,truefi,129969067
2021-06-11,centrifuge,3468629
2021-06-11,maple-finance,0
2021-06-11,truefi,134731719
2021-06-12,centrifuge,4293281
2021-06-12,maple-finance,0
2021-06-12,truefi,154827013
2021-06-13,centrifuge,4323825
2021-06-13,maple-finance,0
2021-06-13,truefi,156484192
2021-06-14,centrifuge,4322053
2021-06-14,maple-finance,0
2021-06-14,truefi,161200808
2021-06-15,centrifuge,4387961
2021-06-15,maple-finance,0
2021-06-15,truefi,135334671
2021-06-16,centrifuge,4355564
2021-06-16,maple-finance,0
2021-06-16,truefi,130463284
2021-06-17,centrifuge,3730810
2021-06-17,maple-finance,0
2021-06-17,truefi,127707138
2021-06-18,centrifuge,3862644
2021-06-18,maple-finance,0
2021-06-18,truefi,162191830
2021-06-19,centrifuge,3242388
2021-06-19,maple-finance,0
2021-06-19,truefi,156070621
2021-06-20,centrifuge,3381107
2021-06-20,maple-finance,0
2021-06-20,truefi,156278602
2021-06-21,centrifuge,3399054
2021-06-21,maple-finance,0
2021-06-21,truefi,167367035
2021-06-22,centrifuge,3334446
2021-06-22,maple-finance,0
2021-06-22,truefi,148218339
2021-06-23,centrifuge,3198863
2021-06-23,maple-finance,3302549
2021-06-23,truefi,151220998
2021-06-24,centrifuge,4250295
2021-06-24,maple-finance,12899646
2021-06-24,truefi,129031484
2021-06-25,centrifuge,4219868
2021-06-25,maple-finance,18125819
2021-06-25,truefi,128197309
2021-06-26,centrifuge,3194215
2021-06-26,maple-finance,18351949
2021-06-26,truefi,110565826
2021-06-27,centrifuge,3243479
2021-06-27,maple-finance,20301361
2021-06-27,truefi,127459478
2021-06-28,centrifuge,3197464
2021-06-28,maple-finance,20147267
2021-06-28,truefi,128021665
2021-06-29,centrifuge,2713679
2021-06-29,maple-finance,20167024
2021-06-29,truefi,131479371
2021-06-30,centrifuge,2713171
2021-06-30,maple-finance,16245029
2021-06-30,truefi,120520352
2021-07-01,centrifuge,2957178
2021-07-01,maple-finance,16265769
2021-07-01,truefi,133311665
2021-07-02,centrifuge,2946042
2021-07-02,maple-finance,12181096
2021-07-02,truefi,154886008
2021-07-03,centrifuge,2742299
2021-07-03,maple-finance,12173707
2021-07-03,truefi,154813892
2021-07-04,centrifuge,2535741
2021-07-04,maple-finance,12191405
2021-07-04,truefi,152144552
2021-07-05,centrifuge,2539299
2021-07-05,maple-finance,12160411
2021-07-05,truefi,149902457
2021-07-06,centrifuge,2604241
2021-07-06,maple-finance,12175306
2021-07-06,truefi,153295614
2021-07-07,centrifuge,2462271
2021-07-07,maple-finance,24200091
2021-07-07,truefi,147753355
2021-07-08,centrifuge,2393553
2021-07-08,maple-finance,27088005
2021-07-08,truefi,116656837
